Organism_Code	Organism_Name
api	Acyrthosiphon pisum (pea aphid)
dnx	Diuraphis noxia (Russian wheat aphid)
ags	Aphis gossypii (cotton aphid)
rmd	Rhopalosiphum maidis (corn leaf aphid)
acoo	Adelges cooleyi (spruce gall adelgid)
dvt	Daktulosphaira vitifoliae (grape phylloxera)
btab	Bemisia tabaci (sweet potato whitefly)
dci	Diaphorina citri (Asian citrus psyllid)
clec	Cimex lectularius (bed bug)
hhal	Halyomorpha halys (brown marmorated stink bug)
nlu	Nilaparvata lugens (brown planthopper)
hvi	Homalodisca vitripennis (glassy-winged sharpshooter)
mqu	Macrosteles quadrilineatus (aster leafhopper)
phu	Pediculus humanus corporis (human body louse)
foc	Frankliniella occidentalis (western flower thrips)
tpal	Thrips palmi (melon thrips)
zne	Zootermopsis nevadensis (dampwood termite)
csec	Cryptotermes secundus (drywood termite)
sgre	Schistocerca gregaria (desert locust)
bror	Bacillus rossius redtenbacheri
