Uniprot_ID	KEGG_Gene_ID
O35227	mmu:11500
O35231	mmu:16582
O35235	mmu:21943
O35245	mmu:18764
O35250	mmu:53413
O35253	mmu:17131
O35261	mmu:13557
O35280	mmu:12649
O35284	mmu:53314
O35286	mmu:13204
O35295	mmu:19291
O35298	mmu:27052
O35304	NA
O35305	mmu:21934
O35309	mmu:64685
O35310	mmu:15476
O35316	mmu:21366
O35317	mmu:18516
O35324	NA
O35343	mmu:16649
O35345	mmu:16650
O35350	mmu:12333
O35375	mmu:18187
O35379	mmu:17250
O35381	mmu:11737
O35382	mmu:20336
O35385	mmu:19023
O35386	mmu:16922
O35387	mmu:23897
O35393	mmu:13643
O35400	mmu:54200
O35405	mmu:18807
O35409	mmu:53320
O35423	mmu:11611
O35425	mmu:51800
O35426	mmu:22433
O35435	mmu:56749
O35437	mmu:21412
O35445	mmu:54197
O35449	mmu:260297
O35451	NA
O35452	NA
O35453	mmu:15451
O35454	mmu:26372
O35457	mmu:54199
O35464	mmu:20358
O35465	mmu:14232
O35468	mmu:22412
O35473	mmu:57316
O35484	mmu:54375
O35488	mmu:26458
O35491	mmu:12748
O35492	mmu:102414
O35493	mmu:12750
O35495	mmu:18647
O35516	mmu:18129
O35526	mmu:20907
O35544	mmu:20513
O35551	mmu:54189
O35565	mmu:14165
O35566	mmu:12476
O35593	mmu:59029
O35594	mmu:12589
O35595	mmu:19207
O35598	mmu:11487
O35599	mmu:14539
O35600	mmu:11304
O35601	mmu:23880
O35604	mmu:18145
O35607	mmu:12168
O35608	mmu:11601
O35613	mmu:13163
O35615	mmu:22761
O35618	mmu:17248
O35621	mmu:29858
O35622	mmu:14170
O35625	mmu:12005
O35627	mmu:12355
O35632	mmu:15587
O35633	mmu:22348
O35638	mmu:20843
O35639	mmu:11745
O35643	mmu:11764
O35646	mmu:12338
O35648	mmu:12626
O35652	mmu:16875
O35655	mmu:237178
O35657	mmu:18010
O35658	NA
O35659	mmu:14652
O35664	mmu:15976
O35668	mmu:15114
O35671	mmu:16413
O35674	mmu:11492
O35678	mmu:23945
O35681	mmu:20981
O35685	mmu:18221
O35690	mmu:18935
O35696	mmu:20450
O35701	mmu:17182
O35704	mmu:268656
O35710	mmu:12457
O35714	mmu:21936
O35716	mmu:12703
O35717	mmu:216233
O35718	mmu:12702
O35719	mmu:19363
O35728	mmu:13119
O35730	mmu:19763
O35732	mmu:12633
O35738	mmu:16597
O35739	NA
O35740	mmu:17684
O35744	mmu:12655
O35855	mmu:12036
O35864	mmu:26754
O35874	mmu:55963
O35885	mmu:17173
O35902	mmu:13512
O35903	mmu:20300
O35904	mmu:18707
O35906	mmu:272382
O35914	NA
O35926	mmu:12570
O35927	mmu:18163
O35929	mmu:19700
O35930	NA
O35936	mmu:11688
O35942	mmu:18005
O35943	mmu:14297
O35945	mmu:26358
O35949	mmu:12686
O35954	mmu:18739
O35955	mmu:19171
O35963	mmu:19338
O35969	mmu:14431
O35973	mmu:18626
O35975	mmu:11872
O35980	mmu:18207
O35988	mmu:20971
O54689	mmu:12458
O54693	mmu:13607
O54709	mmu:27007
O54714	mmu:229615
O54724	mmu:19285
O54732	mmu:17388
O54743	mmu:14238
O54751	mmu:12951
O54754	mmu:11761
O54774	mmu:11776
O54775	mmu:22402
O54781	mmu:20817
O54784	mmu:13144
O54785	mmu:16886
O54786	mmu:13347
O54788	mmu:13368
O54790	mmu:17134
O54794	mmu:11832
O54799	mmu:18101
O54803	mmu:18440
O54804	mmu:12660
O54824	mmu:16170
O54825	mmu:53414
O54827	mmu:11982
O54828	mmu:19739
O54829	mmu:24012
O54833	mmu:13000
O54834	mmu:11856
O54839	mmu:13813
O54851	mmu:14617
O54863	mmu:22115
O54864	mmu:20937
O54879	mmu:15354
O54885	mmu:22177
O54890	mmu:16416
O54901	NA
O54904	mmu:26877
O54905	mmu:26878
O54907	mmu:21944
O54908	mmu:13380
O54909	mmu:19683
O54915	mmu:18171
O54916	mmu:19707
O54917	mmu:50496
O54918	mmu:12125
O54926	mmu:30954
O54928	mmu:56468
O54931	mmu:677884
O54940	mmu:12175
O54941	mmu:57376
O54942	mmu:12741
O54943	mmu:18627
O54946	mmu:23950
O54949	mmu:18099
O54950	mmu:19082
O54951	mmu:20359
O54957	mmu:16797
O54962	mmu:23825
O54965	mmu:24017
O54967	mmu:51789
O54972	mmu:12398
O54982	mmu:16532
O54984	mmu:56495
O54988	mmu:20874
O54990	mmu:19126
O54991	mmu:53321
O54992	mmu:17165
O54998	mmu:14231
O55003	mmu:12176
O55013	mmu:27096
O55017	mmu:12287
O55022	mmu:53328
O55023	NA
O55026	mmu:12496
O55028	mmu:12041
O55029	mmu:50797
O55033	mmu:17974
O55038	mmu:55985
O55042	mmu:20617
O55047	mmu:24086
O55055	mmu:13434
O55070	mmu:13421
